OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Desulfovibrionaceae,SRR29054980,0.012658227848101266,315,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,10
Sutterellaceae,SRR29055025,0.012637362637362638,39,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Marinifilaceae,SRR29055181,0.012636165577342049,272,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,13
Atopobiaceae,SRR29055122,0.01263243683781581,67,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,10
Peptostreptococcaceae,SRR29055018,0.01263157894736842,45,Fecal,True Sample,2,JI-692,KO,Male,High_Fat_Diet,HDM,Sham,13
Clostridiaceae,SRR29055019,0.012622359608449252,44,Fecal,True Sample,2,JI-678,WT,Female,Normal_Chow,PBS,None,13
Atopobiaceae,SRR29055171,0.012572599931670652,281,Fecal,True Sample,2,JI-751,KO,Male,Normal_Chow,PBS,None,0
Desulfovibrionaceae,SRR29055056,0.012570920013349649,336,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,0
Marinifilaceae,SRR29055190,0.012566826355620358,14,Fecal,True Sample,2,JI-674,KO,Female,High_Fat_Diet,PBS,Sham,13
Desulfovibrionaceae,SRR29054999,0.012557469292527277,297,Fecal,True Sample,2,JI-738,KO,Female,High_Fat_Diet,HDM,VSG,13
Saccharimonadaceae,SRR29055010,0.01254888478232842,52,Fecal,True Sample,2,JI-669,WT,Female,High_Fat_Diet,PBS,Sham,10
Clostridiaceae,SRR29055130,0.012548262548262547,60,Fecal,True Sample,2,JI-682,WT,Female,High_Fat_Diet,PBS,Sham,0
Desulfovibrionaceae,SRR29055068,0.012516763522574878,322,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,13
Oscillospiraceae,SRR29055091,0.012472371329333754,235,Fecal,True Sample,2,JI-741,WT,Male,Normal_Chow,HDM,None,0
Sutterellaceae,SRR29054913,0.012460479821461782,216,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,0
Erysipelotrichaceae,SRR29055059,0.012450418686646099,333,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,0
Ruminococcaceae,SRR29055162,0.012442904394392818,291,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,10
Rikenellaceae,SRR29055057,0.012411347517730497,335,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,0
Rikenellaceae,SRR29055165,0.012398325831161652,288,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,0
Desulfovibrionaceae,SRR29055003,0.012389571213100624,294,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,0
Helicobacteraceae,SRR29055097,0.01236315590788977,229,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,0
Helicobacteraceae,SRR29055081,0.012360688956433637,245,Fecal,True Sample,2,JI-733,KO,Male,High_Fat_Diet,HDM,Sham,0
Marinifilaceae,SRR29055082,0.012341561040693796,244,Fecal,True Sample,2,JI-733,KO,Male,High_Fat_Diet,HDM,Sham,13
Sutterellaceae,SRR29055185,0.012333436628447474,268,Fecal,True Sample,2,JI-762,WT,Female,High_Fat_Diet,HDM,Sham,10
Eggerthellaceae,SRR29055029,0.012332990750256937,35,Fecal,True Sample,2,JI-681,WT,Female,High_Fat_Diet,HDM,VSG,13
Helicobacteraceae,SRR29055099,0.01230472929595549,11,Fecal,True Sample,2,JI-659,KO,Male,Normal_Chow,HDM,None,10
Sutterellaceae,SRR29055116,0.01228224088231608,72,Fecal,True Sample,2,JI-664,WT,Female,Normal_Chow,PBS,None,10
Helicobacteraceae,SRR29055015,0.012278242374438053,48,Fecal,True Sample,2,JI-680,WT,Female,High_Fat_Diet,HDM,None,13
Ruminococcaceae,SRR29055131,0.01227659929848004,59,Fecal,True Sample,2,JI-667,KO,Female,High_Fat_Diet,PBS,None,10
Marinifilaceae,SRR29055016,0.012267734318858433,47,Fecal,True Sample,2,JI-679,KO,Female,High_Fat_Diet,HDM,None,13
Ruminococcaceae,SRR29054901,0.012238925103099641,227,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,10
Ruminococcaceae,SRR29055121,0.012229383572963147,68,Fecal,True Sample,2,JI-666,KO,Female,High_Fat_Diet,HDM,None,10
Eggerthellaceae,SRR29055190,0.012219676456293828,14,Fecal,True Sample,2,JI-674,KO,Female,High_Fat_Diet,PBS,Sham,13
Bacteroidaceae,SRR29055193,0.012187088274044796,259,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,13
Eggerthellaceae,SRR29055193,0.012187088274044796,259,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,13
Bacteroidaceae,SRR29054994,0.012178511337232594,302,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,0
Helicobacteraceae,SRR29055073,0.012165143397415696,253,Fecal,True Sample,2,JI-736,WT,Male,High_Fat_Diet,HDM,None,13
